# 第 9 课 · 第二节 · 检索变体表   (本次由 AI 代跑,故 AI 代填;判断部分仍留给张君杰)
#
# ═══ 为什么要有它 ═══
# 有人问过:"怎么合是不是要通过实验验证?那仅仅是针对这个评估集吧?"
#   —— 对。同一批题【既用来选、又用来判】,那个分数就不作数了。
#   —— 而且那 60 道已经全看过了,"留出法"用不了了。
#   → 只能造【新的】东西。不是新题,是【同一道题的新问法】:答案不变,只有问法变。
#
# ═══ ★★ 设计成【统一结构】,这是故意的 ═══
#   4 道题 × 4 个变体,每题都是同一套:
#       基准        —— 系统实际用的那组词
#       去期次      —— 破坏"期次过滤"   ★ 四道题都有,才能横向比、才能复现题 52 的反常
#       换说法      —— 破坏该题最脆的那一点
#       去掉一个词  —— 破坏"这个词是必需的"
#   ★ 结构不统一就没法横向比 —— 那样只能得到 4 个孤立的数。
#
# ═══ ⚠⚠ 那条坑:为什么有「问法」和「检索词」两列 ═══
#   AI 第一版把【整句问句】喂给关键词检索 → 0 条命中。
#   原因:search_multi 按空格拆词,整句中文没空格 → 被当成一个超长词 →
#        trigram 要求这整串字挨着出现 → 0。
#   ★ 真系统不这么干:大模型先把问句改写成【空格分开的检索词】再进检索。
#   ★★ 所以「检索词」列才是实际生效的输入;「问法」列只负责抽期次。
#
# ═══ 判据 ═══
#   答案键那一页出现在【该方式实际给出去的条里】→ 算命中。
#   ★ 不按前 K 判:并集取前k 按定义不受 k 约束,用 k 去量它不公平(会要求它把多给的扔掉)。
#
# ═══ ★★★ 看汇总时 ═══
#   不看平均分,看【最差的那一格】。脆的东西平时不响。
#
题号	变体名	破坏什么	问法	检索词	期望
40	机械·只留最独特的词	破坏'多个词一起用'(取出现 1 次的词)	2023Q3的指标变更说明里删除和合并了哪些指标	2023Q3	2023Q3-P05
40	机械·只留最普通的词	破坏'多个词一起用'(取出现 5 次的词)	2023Q3的指标变更说明里删除和合并了哪些指标	指标变更	2023Q3-P05
41	机械·去期次	破坏期次过滤(机械生成,无判断)	的指标变更说明里新增了什么指标，为什么	指标变更 新增指标 原因	2024Q1-P05
41	机械·只留库里没有的词	破坏'多个词一起用'(取出现 0 次的词)	2024Q1的指标变更说明里新增了什么指标，为什么	新增指标	2024Q1-P05
41	机械·只留最普通的词	破坏'多个词一起用'(取出现 5 次的词)	2024Q1的指标变更说明里新增了什么指标，为什么	指标变更	2024Q1-P05
42	机械·去期次	破坏期次过滤(机械生成,无判断)	的服务测评报告概况里，机场服务测评包括哪些一级指标	服务测评报告 机场服务 一级指标	2024Q2-P07
42	机械·只留最独特的词	破坏'多个词一起用'(取出现 1 次的词)	2024Q2的服务测评报告概况里，机场服务测评包括哪些一级指标	2024Q2	2024Q2-P07
42	机械·只留最普通的词	破坏'多个词一起用'(取出现 18 次的词)	2024Q2的服务测评报告概况里，机场服务测评包括哪些一级指标	服务测评报告	2024Q2-P07
43	机械·去期次	破坏期次过滤(机械生成,无判断)	的服务测评报告概况里，一级指标和二级指标各多少项	服务测评报告 一级指标 二级指标 数量	2025Q1-P07
43	机械·只留最独特的词	破坏'多个词一起用'(取出现 1 次的词)	2025Q1的服务测评报告概况里，一级指标和二级指标各多少项	2025Q1	2025Q1-P07
43	机械·只留最普通的词	破坏'多个词一起用'(取出现 18 次的词)	2025Q1的服务测评报告概况里，一级指标和二级指标各多少项	服务测评报告	2025Q1-P07
44	机械·去期次	破坏期次过滤(机械生成,无判断)	的服务测评报告概况里，国际及港澳台地区机场为什么没有测评得分	服务测评报告 国际及港澳台地区机场 测评得分	2025Q2-P07
44	机械·只留最独特的词	破坏'多个词一起用'(取出现 1 次的词)	2025Q2的服务测评报告概况里，国际及港澳台地区机场为什么没有测评得分	2025Q2	2025Q2-P07
44	机械·只留最普通的词	破坏'多个词一起用'(取出现 18 次的词)	2025Q2的服务测评报告概况里，国际及港澳台地区机场为什么没有测评得分	服务测评报告	2025Q2-P07
45	机械·去期次	破坏期次过滤(机械生成,无判断)	的CAPSE简介里，CAPSE创立了哪些指标或系统	CAPSE 创立 指标 系统	2025Q3-P11
45	机械·只留最独特的词	破坏'多个词一起用'(取出现 1 次的词)	2025Q3的CAPSE简介里，CAPSE创立了哪些指标或系统	2025Q3	2025Q3-P11
45	机械·只留最普通的词	破坏'多个词一起用'(取出现 50 次的词)	2025Q3的CAPSE简介里，CAPSE创立了哪些指标或系统	CAPSE	2025Q3-P11
46	机械·去期次	破坏期次过滤(机械生成,无判断)	分吞吐量级服务测评里，4000万级以上机场综合得分前两名是谁	吞吐量 服务测评 4000万级 机场 综合得分	2025Q4-P18
46	机械·只留最独特的词	破坏'多个词一起用'(取出现 2 次的词)	2025Q4分吞吐量级服务测评里，4000万级以上机场综合得分前两名是谁	4000万级	2025Q4-P18
46	机械·只留最普通的词	破坏'多个词一起用'(取出现 18 次的词)	2025Q4分吞吐量级服务测评里，4000万级以上机场综合得分前两名是谁	服务测评	2025Q4-P18
47	机械·去期次	破坏期次过滤(机械生成,无判断)	分吞吐量级服务测评里，2500万-4000万级机场综合得分第一是谁	吞吐量 2500万-4000万 机场 综合得分 第一	2025Q4-P19
47	机械·只留最独特的词	破坏'多个词一起用'(取出现 1 次的词)	2025Q4分吞吐量级服务测评里，2500万-4000万级机场综合得分第一是谁	2500万-4000万	2025Q4-P19
47	机械·只留最普通的词	破坏'多个词一起用'(取出现 13 次的词)	2025Q4分吞吐量级服务测评里，2500万-4000万级机场综合得分第一是谁	综合得分	2025Q4-P19
48	机械·去期次	破坏期次过滤(机械生成,无判断)	分吞吐量级服务测评里，1000万-1500万级机场综合得分第一是谁	吞吐量 服务测评 1000万-1500万 机场 综合得分	2025Q4-P21
48	机械·只留最独特的词	破坏'多个词一起用'(取出现 1 次的词)	2025Q4分吞吐量级服务测评里，1000万-1500万级机场综合得分第一是谁	1000万-1500万	2025Q4-P21
48	机械·只留最普通的词	破坏'多个词一起用'(取出现 18 次的词)	2025Q4分吞吐量级服务测评里，1000万-1500万级机场综合得分第一是谁	服务测评	2025Q4-P21
49	机械·去期次	破坏期次过滤(机械生成,无判断)	报告里如何保证“真实”的报告	报告 真实性 保证 措施	2024Q4-P12
49	机械·只留最独特的词	破坏'多个词一起用'(取出现 1 次的词)	2024Q4报告里如何保证“真实”的报告	2024Q4	2024Q4-P12
49	机械·只留最普通的词	破坏'多个词一起用'(取出现 9 次的词)	2024Q4报告里如何保证“真实”的报告	真实性	2024Q4-P12
50	机械·去期次	破坏期次过滤(机械生成,无判断)	报告里“旅客最佳”的定义是什么	旅客最佳 定义	2024Q3-P12
50	机械·只留最独特的词	破坏'多个词一起用'(取出现 1 次的词)	2024Q3报告里“旅客最佳”的定义是什么	2024Q3	2024Q3-P12
50	机械·只留最普通的词	破坏'多个词一起用'(取出现 9 次的词)	2024Q3报告里“旅客最佳”的定义是什么	旅客最佳	2024Q3-P12
51	机械·去期次	破坏期次过滤(机械生成,无判断)	的著作权声明说了什么	著作权声明 版权声明	2024Q2-P14
51	机械·只留库里没有的词	破坏'多个词一起用'(取出现 0 次的词)	2024Q2的著作权声明说了什么	著作权声明	2024Q2-P14
51	机械·只留最普通的词	破坏'多个词一起用'(取出现 1 次的词)	2024Q2的著作权声明说了什么	2024Q2	2024Q2-P14
52	机械·去期次	破坏期次过滤(机械生成,无判断)	的测评简介里，CAPSE是哪一年成立的	测评简介 CAPSE 成立 年份	2025Q4-P23
52	机械·只留库里没有的词	破坏'多个词一起用'(取出现 0 次的词)	2025Q4的测评简介里，CAPSE是哪一年成立的	测评简介	2025Q4-P23
52	机械·只留最普通的词	破坏'多个词一起用'(取出现 50 次的词)	2025Q4的测评简介里，CAPSE是哪一年成立的	CAPSE	2025Q4-P23
